"store";"sku";"price";"msrp"
"store_7x24petshop_main_tr";"KEGDA2211";4,25;4,72
"store_7x24petshop_main_tr";"KEGDA2228";17,42;19,35
"store_7x24petshop_main_tr";"KEGDA2242";78;86,67
"store_7x24petshop_main_tr";"KEGDA2310";3,83;4,25
"store_7x24petshop_main_tr";"KEGDA2327";16,57;18,41
"store_7x24petshop_main_tr";"KEGDA2341";73,17;81,3
"store_7x24petshop_main_tr";"KEGDA2419";3,83;4,25
"store_7x24petshop_main_tr";"KEGDA2426";16,57;18,41
"store_7x24petshop_main_tr";"KEGDA2440";73,17;81,3
"store_7x24petshop_main_tr";"KEGDA2518";3,83;4,25
"store_7x24petshop_main_tr";"KEGDA2525";16,57;18,41
"store_7x24petshop_main_tr";"KEGDA2549";73,17;81,3
"store_7x24petshop_main_tr";"KEGDA5014";2,35;2,35
"store_7x24petshop_main_tr";"KEGDA5038";2,35;2,35
"store_7x24petshop_main_tr";"KEGDA5021";2,35;2,35
"store_7x24petshop_main_tr";"KEGDA5045";2,35;2,35
"store_7x24petshop_main_tr";"NVP7290100343630";36,38;40,42
"store_7x24petshop_main_tr";"NVP7290100343654";28,62;31,8
"store_7x24petshop_main_tr";"NVP7290100343647";28,62;31,8
"store_7x24petshop_main_tr";"KOGDA1313";14,45;16,05
"store_7x24petshop_main_tr";"KEBKM1007";5,89;3,68
"store_7x24petshop_main_tr";"KKEKP14745";0;0
"store_7x24petshop_main_tr";"STF96019";4,76;5,29
"store_7x24petshop_main_tr";"STF96013";2,77;3,08
"store_7x24petshop_main_tr";"STF96011";4,01;4,46
"store_7x24petshop_main_tr";"STF96005";9,57;10,63
"store_7x24petshop_main_tr";"STF96004";7,6;8,44
"store_7x24petshop_main_tr";"STF96003";4,97;5,52
"store_7x24petshop_main_tr";"STF96002";3,59;3,99
"store_7x24petshop_main_tr";"STF96001";2,76;3,07
"store_7x24petshop_main_tr";"KKEKP0298";89,3;99,22
"store_7x24petshop_main_tr";"KKEKP0299";122,46;136,07
"store_7x24petshop_main_tr";"KKEKP0310";23,4;26
"store_7x24petshop_main_tr";"KKEKP0311";32,32;35,91
"store_7x24petshop_main_tr";"KKEKP0312";46,77;51,97
"store_7x24petshop_main_tr";"KKEKP0238";12,67;14,08
"store_7x24petshop_main_tr";"KOEKP0294";53,24;59,15
"store_7x24petshop_main_tr";"KOEKP0296";75,01;83,34
"store_7x24petshop_main_tr";"KOEKP5948";23,12;25,69
"store_7x24petshop_main_tr";"KOEKP5949";26,24;29,15
"store_7x24petshop_main_tr";"KKEKP8010690100135";12,14;13,49
"store_7x24petshop_main_tr";"KKEKP8010690051857";29,12;32,36
"store_7x24petshop_main_tr";"KKEKP8010690048000";39,08;43,42
"store_7x24petshop_main_tr";"KKEKP8010690048017";43,03;47,81
"store_7x24petshop_main_tr";"KKEKP8010690048024";77,1;85,67
"store_7x24petshop_main_tr";"KKEKP8010690029986";7,18;7,98
"store_7x24petshop_main_tr";"KKEKP8010690029993";8,42;9,36
"store_7x24petshop_main_tr";"KKEKP8010690030005";10,37;11,52
"store_7x24petshop_main_tr";"KKEKP8010690030012";14,17;15,74
"store_7x24petshop_main_tr";"KKEKP8010690030029";29,05;32,28
"store_7x24petshop_main_tr";"KKEKP8010690030036";39,64;44,04
"store_7x24petshop_main_tr";"KKEKP8010690030043";15,21;16,9
"store_7x24petshop_main_tr";"KKEKP8010690030050";12,22;13,58
"store_7x24petshop_main_tr";"KKEKP8010690054216";18,77;20,85
"store_7x24petshop_main_tr";"KKEKP8010690072197";16,34;18,16
"store_7x24petshop_main_tr";"KKEKP8010690072203";23,07;25,63
"store_7x24petshop_main_tr";"KKEKP8010690072210";29,75;33,06
"store_7x24petshop_main_tr";"KKEKP8010690072227";33,17;36,85
"store_7x24petshop_main_tr";"KKEKP8010690072241";71,27;79,19
"store_7x24petshop_main_tr";"KKEKP8010690014005";13,35;14,83
"store_7x24petshop_main_tr";"KKEKP8010690014012";25,49;28,32
"store_7x24petshop_main_tr";"KKEKP8010690014036";34,79;38,66
"store_7x24petshop_main_tr";"KKEKP8010690014043";45,95;51,06
"store_7x24petshop_main_tr";"KKEKP8010690014050";60,58;67,31
"store_7x24petshop_main_tr";"KKEKP8010690068244";50;55,56
"store_7x24petshop_main_tr";"KKEKP8010690067445";69,08;76,76
"store_7x24petshop_main_tr";"KKEKP8010690067452";110,68;122,98
"store_7x24petshop_main_tr";"KKEKP8010690050942";43,28;48,09
"store_7x24petshop_main_tr";"KKEKP8010690054230";55,74;61,93
"store_7x24petshop_main_tr";"KKEKP8010690014456";71,35;79,28
"store_7x24petshop_main_tr";"KKEKP8010690014418";93,35;103,72
"store_7x24petshop_main_tr";"KKEKP8010690014425";128;142,22
"store_7x24petshop_main_tr";"KKEKP8010690052533";60,12;66,8
"store_7x24petshop_main_tr";"KKEKP8010690052540";60,26;66,96
"store_7x24petshop_main_tr";"KOGDA3331";39,79;44,21
"store_7x24petshop_main_tr";"KEGDA2938";0;0
"store_7x24petshop_main_tr";"KEGDA8698566791122";2,48;2,76
"store_7x24petshop_main_tr";"KEGDA8698566791146";2,48;2,76
"store_7x24petshop_main_tr";"KEGDA8698566791139";2,48;2,76
"store_7x24petshop_main_tr";"KEGDA8698566790767";3,08;3,42
"store_7x24petshop_main_tr";"KEGDA8698566790798";3,08;3,42
"store_7x24petshop_main_tr";"KEGDA8698566790828";3,08;3,42
"store_7x24petshop_main_tr";"KOGDA8698566790859";71,69;79,65
"store_7x24petshop_main_tr";"KOGDA8698566790668";3,08;3,42
"store_7x24petshop_main_tr";"KOGDA8698566790699";3,08;3,42
"store_7x24petshop_main_tr";"KOGDA8698566790729";3,08;3,42
"store_7x24petshop_main_tr";"KOGDA8698566791023";12;13,33
